Frame,Tiempo(s),GT_Region,Gesto,Confianza(%),Modo,Confirmado,Region,X_norm,Y_norm,Modo_grounding,Hands_fiable
3619,124.4108,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.214,0,raycast,No
3620,124.4231,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2155,0,raycast,No
3621,124.4377,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.218,0,raycast,No
3622,124.4509,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2189,0,raycast,No
3623,124.4625,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2194,0,raycast,No
3624,124.4756,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2199,0,raycast,No
3625,124.4882,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2182,0,raycast,No
3626,124.5,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2174,0,raycast,No
3627,124.5131,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.218,0,raycast,No
3628,124.5248,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2179,0,raycast,No
3629,124.5386,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2198,0,raycast,No
3630,124.5511,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2198,0,raycast,No
3631,124.5643,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2181,0,raycast,No
3632,124.5773,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2164,0,raycast,No
3633,124.5913,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2159,0,raycast,No
3634,124.6052,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.215,0,raycast,No
3635,124.6177,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2159,0,raycast,No
3636,124.631,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2158,0,raycast,No
3637,124.6442,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2164,0,raycast,No
3638,124.6576,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2161,0,raycast,No
3639,124.671,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2165,0,raycast,No
3640,124.6855,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2166,0,raycast,No
3641,124.6984,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2172,0,raycast,No
3642,124.7109,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.218,0,raycast,No
3643,124.723,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2176,0,raycast,No
3644,124.735,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2168,0,raycast,No
3645,124.7477,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2169,0,raycast,No
3646,124.76,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.217,0,raycast,No
3647,124.7723,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2171,0,raycast,No
3648,124.7857,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2162,0,raycast,No
3649,124.798,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2153,0,raycast,No
3650,124.8102,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2145,0,raycast,No
3651,124.8223,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2134,0,raycast,No
3652,124.8343,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2118,0,raycast,No
3653,124.8469,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2115,0,raycast,No
3654,124.8598,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2111,0,raycast,No
3655,124.8721,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.211,0,raycast,No
3656,124.89,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2106,0,raycast,No
3657,124.9075,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2106,0,raycast,No
3658,124.9258,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2114,0,raycast,No
3659,124.9439,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2116,0,raycast,No
3660,124.9604,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2106,0,raycast,No
3661,124.9777,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2107,0,raycast,No
3662,124.9951,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2115,0,raycast,No
3663,125.0181,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2117,0,raycast,No
3664,125.0411,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.212,0,raycast,No
3665,125.0536,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2146,0,raycast,No
3666,125.0653,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2155,0,raycast,No
